Name,Salary,Team,Subposition,Opponent,Ceil,Floor,Value
"Zach Randolph",5500,SAC,PF/C,MIA,30.646,13.134,21.89
"Buddy Hield",5200,SAC,SG/SF,MIA,35.8848,13.9552,24.92
"De'Aaron Fox",5300,SAC,PG,MIA,35.994,15.426,25.71
"Skal Labissiere",4900,SAC,PF/C,MIA,35.2683,12.0717,23.67
"Garrett Temple",3900,SAC,SG/SF,MIA,13.41,4.59,9
"Frank Mason",4000,SAC,PG,MIA,21.0824,7.7976,14.44
"Justin Jackson",3800,SAC,SG/SF,MIA,25.2642,6.7158,15.99
"Kosta Koufos",4500,SAC,C,MIA,20.0679,6.5121,13.29
"Bogdan Bogdanovic",5600,SAC,SG/SF,MIA,31.4415,14.4585,22.95
"Willie Cauley-Stein",5900,SAC,C,MIA,41.9106,18.8294,30.37
"Kelly Olynyk",5800,MIA,PF/C,SAC,37.9808,15.1392,26.56
"Wayne Ellington",3900,MIA,SG/SF,SAC,27.2391,9.8209,18.53
"Goran Dragic",7200,MIA,PG,SAC,39.5227,20.8173,30.17
"Tyler Johnson",5000,MIA,PG/SG,SAC,28.1382,12.6418,20.39
"James Johnson",4700,MIA,PF/C,SAC,36.3792,14.5008,25.44
"Rodney McGruder",3300,MIA,SG/SF,SAC,16.7544,4.7256,10.74
"Justise Winslow",5900,MIA,SF/PF,SAC,36.4416,13.4784,24.96
"Bam Adebayo",4300,MIA,PF/C,SAC,36.729,9.471,23.1
"Isaiah Thomas",6300,LAL,PG/SG,GSW,43.2516,21.7884,32.52
"Kentavious Caldwell-Pope",6000,LAL,SG/SF,GSW,41.067,19.773,30.42
"Nick Young",3200,GSW,SG,LAL,37.7125,5.3875,21.55
"Shaun Livingston",3400,GSW,PG/SG,LAL,26.788,9.412,18.1
"Zaza Pachulia",3600,GSW,C,LAL,23.2078,6.9322,15.07
"Jordan Bell",3800,GSW,PF/C,LAL,32.5376,7.1424,19.84
"Omri Casspi",3200,GSW,SF/PF,LAL,31.745,4.535,18.14
"Quinn Cook",3300,GSW,PG,LAL,28.9632,5.5168,17.24
"Kevon Looney",3100,GSW,SF/PF,LAL,24.9228,4.0572,14.49
"JaVale McGee",3900,GSW,C,LAL,26.6828,5.8572,16.27
"Andre Iguodala",4200,GSW,SG/SF,LAL,32.3183,14.8617,23.59
"Kevin Durant",11400,GSW,SF/PF,LAL,70.1592,43.0008,56.58
"Lonzo Ball",7600,LAL,PG,GSW,48.438,23.322,35.88
"Julius Randle",8100,LAL,PF/C,GSW,51.4602,23.1198,37.29
"Kyle Kuzma",6600,LAL,SF/PF,GSW,46.5511,20.4289,33.49
"Brook Lopez",6100,LAL,C,GSW,45.6336,17.7464,31.69
"Travis Wear",3000,LAL,PF,GSW,18.6048,5.8752,12.24
"Ivica Zubac",3000,LAL,C,GSW,19.764,2.196,10.98
"Alex Caruso",3000,LAL,PG/SG,GSW,13.5,1.5,7.5
"Josh Richardson",5500,MIA,SG/SF,SAC,31.5252,13.8348,22.68
"Ramon Sessions",3000,WAS,PG/SG,BOS,12.512,3.128,7.82
"Bismack Biyombo",3300,ORL,PF/C,MIL,21.2265,5.4735,13.35
"Jonathon Simmons",5900,ORL,SG/SF,MIL,35.9931,14.3469,25.17
"Nikola Vucevic",8000,ORL,C,MIL,54.2565,26.1235,40.19
"Mario Hezonja",5200,ORL,SF/PF,MIL,36.2505,6.6495,21.45
"Wesley Iwundu",3000,ORL,SG/SF,MIL,11.7813,1.8387,6.81
"D.J. Augustin",4800,ORL,PG/SG,MIL,33.7783,11.5617,22.67
"Jonathan Isaac",3700,ORL,PF/C,MIL,26.0318,9.6282,17.83
"Shelvin Mack",4100,ORL,PG/SG,MIL,25.5664,8.0736,16.82
"Aaron Gordon",7300,ORL,SF/PF,MIL,43.2686,21.3114,32.29
"Brandon Jennings",4400,MIL,PG/SG,ORL,,,16.92
"Eric Bledsoe",7400,MIL,PG/SG,ORL,47.4544,23.9056,35.68
"Khris Middleton",7500,MIL,SG/SF,ORL,44.2911,23.3289,33.81
"Giannis Antetokounmpo",10600,MIL,SF/PF,ORL,64.66,41.34,53
"Tony Snell",3300,MIL,SG/SF,ORL,21.4473,7.7327,14.59
"John Henson",5100,MIL,C,ORL,30.8719,13.5481,22.21
"Jabari Parker",4600,MIL,SF/PF,ORL,26.2888,12.3712,19.33
"Sterling Brown",3600,MIL,SG,ORL,24.144,6.036,15.09
"Jason Terry",3300,MIL,PG/SG,ORL,6.9954,0.8646,3.93
"Rodney Purvis",3000,ORL,PG/SG,MIL,8.918,3.822,6.37
"Marcin Gortat",4500,WAS,C,BOS,25.508,10.932,18.22
"Marcus Morris",5600,BOS,SF/PF,WAS,35.6943,19.6457,27.67
"Aron Baynes",3800,BOS,C,WAS,31.0516,10.6284,20.84
"Terry Rozier",7100,BOS,PG/SG,WAS,46.168,17.512,31.84
"Semi Ojeleye",3400,BOS,SG/SF,WAS,22.284,2.476,12.38
"Shane Larkin",3600,BOS,PG,WAS,29.988,3.332,16.66
"Greg Monroe",4600,BOS,PF/C,WAS,30.7988,10.8212,20.81
"Abdel Nader",3200,BOS,PF,WAS,36.522,4.058,20.29
"Guerschon Yabusele",3000,BOS,PF/C,WAS,20.0265,3.6735,11.85
"Jayson Tatum",5700,BOS,SF/PF,WAS,46.6484,20.4716,33.56
"Bradley Beal",8500,WAS,PG/SG,BOS,49.9224,25.7176,37.82
"Mike Scott",3400,WAS,PF,BOS,16.608,4.152,10.38
"Markieff Morris",5400,WAS,SF/PF,BOS,33.32,14.28,23.8
"Otto Porter",6500,WAS,SF/PF,BOS,45.8864,21.5936,33.74
"Kelly Oubre",4600,WAS,SG/SF,BOS,32.0951,14.0849,23.09
"Ian Mahinmi",3400,WAS,C,BOS,23.364,4.956,14.16
"Jodie Meeks",3300,WAS,SG,BOS,14.5457,2.8743,8.71
"Tomas Satoransky ",5700,WAS,PG/SG,BOS,39.1552,9.4848,24.32
"Tyler Zeller",3200,MIL,C,ORL,18.3616,5.9584,12.16